Name,Java code,nb lines,code size,class size,class files
jk.mega.DrussGT_0.7.25.jar,Yes,2886,14738,67105,19
nat.PallasHawk_1.0.jar,Yes,3426,13806,113765,51
cs.ags.Etna_1.0.jar,No,0,29584,201577,83
abc.tron3.GFGunRRGC_0.01.jar,No,0,10030,31519,11
mld.LittleBlackBook_1.69c.jar,Yes,3261,243,180654,1
tobe.Relativity_3.9c.jar,Yes,1526,12164,68376,17
voidious.mini.BrokenSword_1.101.jar,Yes,306,1453,8629,3
zyx.mega.YersiniaPestis_2.1.jar,Yes,2864,16971,82238,35
dsekercioglu.SwordOfFire_1.1.jar,No,0,7563,51625,23
voidious.Diamond_1.7.35.jar,Yes,10908,49053,400166,110
voidious.Diamond_1.5.35.jar,Yes,9447,41101,253392,63
baal.nano.N_1.4.jar,Yes,37,247,1806,1
ustimaw.NightmareTeam_2.0.jar,No,0,4784,27545,9
jk.mega.DrussGT_1.1.2.jar,Yes,3761,19821,66783,20
voidious.mini.Komarious_1.553.jar,Yes,389,1495,9452,4
eem.EvBot_v4.6.0.jar,No,0,34189,166674,38
voidious.Dookious_1.18.jar,Yes,7541,34072,164101,28
eem.EvBotNG_v7.8.jar,Yes,9628,42953,244453,76
dsekercioglu.WhiteFang_1.2.9.jar,No,0,16985,96371,33
voidious.Diamond_1.7.19.jar,Yes,10946,50030,397353,105
rsalesc.mega.Knight_0.2.jar,No,0,31648,167899,148
divineomega.DivineBot_1.9.4.2.jar,No,0,16361,91681,25
asd.Cthulhu_1.2.jar,Yes,411,8392,55996,23
jam.RaikoMX_0.32.jar,Yes,944,5452,26755,7
SHAM.WOW_1.4.jar,Yes,1531,3298,25798,10
gh.mini.GrubbmTwo_0.9.jar,Yes,428,1498,7175,1
gh.GresSuffurd_0.2.10.jar,Yes,1822,7925,36840,5
eem.IWillFireNoBullet_v2.3.jar,No,0,40814,257579,92
voidious.Dookious_1.135.jar,Yes,7495,33572,166988,28
mn.nano.perceptual.BotCatcherTwins_1.1.0.jar,No,0,175,1763,0
voidious.TripHammer_RES1.6T.jar,Yes,6654,26750,161765,44
bayen.nut.Squirrel_1.621.jar,Yes,2828,13620,94724,43
voidious.mini.Komarious_1.52.jar,Yes,382,1482,9449,4
eem.EvBot_v1.6.jar,No,0,6258,19917,3
ultra.Defender_1.0.jar,No,0,7796,61617,19
voidious.Dookious_1.542.jar,Yes,4828,19822,141245,61
abc.tron3.Shadow_3.70e.jar,No,0,29438,74790,24
rsalesc.melee.Medina_0.3.10.jar,No,0,46228,246588,215
vort.Chaser_0.0.1.jar,Yes,135,656,5134,2
lxx.ConceptA_0.1.jar,No,0,5007,50945,35
ry.VirtualGunExperiment_1.0.jar,No,0,4208,35978,15
pa3k.Manta_1.12.jar,No,0,22017,136982,43
voidious.Dookious_1.3666.jar,Yes,4773,20104,141616,62
tjk.deBroglie_rev0090.jar,Yes,8264,30707,162627,42
mn.CombatTeam_3.18.2.jar,No,0,27872,90010,0
voidious.mini.Komarious_1.43.jar,Yes,378,1493,9358,4
voidious.Diamond_1.7.16.jar,Yes,10789,49393,389956,103
doka.ShinigamiKNN_1.0.jar,Yes,445,1918,11801,4
cb.DeepThought_1.1.jar,No,0,3827,19813,6
fromHell.CHCl3_1.4.1.jar,No,0,3412,28958,8
voidious.Diamond_1.5.19.jar,Yes,8228,34365,205751,55
ch.rhj.rbc.RHJ1_1.0.jar,No,0,944,6510,3
